Rk,Player,Age,Team,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
13,Teoscar Hernández,30,SEA,2.3,160,678,625,70,161,29,2,26,93,7,2,38,211,0.258,0.305,0.435,0.741,108,0.318,106,272,6,8,0,7,2,*9D/H,
14,Kyle Tucker*,26,HOU,5.5,157,674,574,97,163,37,5,29,112,30,5,80,92,0.284,0.369,0.517,0.886,142,0.381,141,297,11,3,0,10,9,*9/DH,"AS,MVP-5,SS"
15,Gleyber Torres,26,NYY,2.9,158,672,596,90,163,28,2,25,68,13,6,67,98,0.273,0.347,0.453,0.8,118,0.344,116,270,19,3,0,6,0,*4D/H,
16,Ty France,28,SEA,0.9,158,665,587,79,147,32,0,12,58,1,0,43,117,0.25,0.337,0.366,0.703,101,0.318,107,215,25,34,0,1,0,*3/H,
17,Rafael Devers*,26,BOS,3.5,153,656,580,90,157,34,0,33,100,5,1,62,126,0.271,0.351,0.5,0.851,126,0.365,126,290,15,11,0,3,10,*5/DH6,"MVP-18,SS"
18,Anthony Santander#,28,BAL,3,153,656,591,81,152,41,1,28,95,5,1,55,152,0.257,0.325,0.472,0.797,121,0.341,119,279,11,6,0,4,1,9D3/H7,
19,Randy Arozarena,28,TBR,3.4,151,654,551,95,140,19,3,23,83,22,10,80,156,0.254,0.364,0.425,0.789,119,0.351,124,234,10,18,0,5,1,*7D/H,AS
20,J.P. Crawford*,28,SEA,5.2,145,638,534,94,142,35,0,19,65,2,0,94,125,0.266,0.38,0.438,0.818,133,0.362,138,234,7,5,3,2,1,*6/H,-MVP 16.00
21,Jeremy Peña,25,HOU,3.9,150,634,577,81,152,32,3,10,52,13,9,43,129,0.263,0.324,0.381,0.705,95,0.315,99,220,11,9,1,1,1,*6,
22,Adolis García,30,TEX,4.5,148,632,555,108,136,29,0,39,107,9,1,65,175,0.245,0.328,0.508,0.836,127,0.36,127,282,12,6,0,6,0,*9/8DH,"AS,MVP-14,GG"
23,Justin Turner,38,BOS,2.1,146,626,558,86,154,31,0,23,96,4,1,51,110,0.276,0.345,0.455,0.8,114,0.35,116,254,10,11,0,6,0,D34/5H,
24,Gunnar Henderson*,22,BAL,6.1,150,622,560,100,143,29,9,28,82,10,3,56,159,0.255,0.325,0.489,0.814,125,0.349,125,274,10,3,0,3,1,56D/H,"MVP-8,ROY-1,SS"
25,Andrew Benintendi*,28,CHW,0.4,151,621,562,72,147,34,2,5,45,13,2,52,89,0.262,0.326,0.356,0.682,88,0.306,87,200,12,3,1,3,5,*7/HD,
26,Andrés Giménez*,24,CLE,5,153,616,557,76,140,27,5,15,62,30,6,32,112,0.251,0.314,0.399,0.712,96,0.318,95,222,10,20,4,3,3,*4/H,GG
27,Andrew Vaughn,25,CHW,1.1,152,615,566,67,146,30,2,21,80,0,0,36,129,0.258,0.314,0.429,0.743,102,0.325,103,243,15,11,0,2,0,*3/DH,
28,MJ Melendez*,24,KCR,-0.4,148,602,533,65,125,29,5,16,56,6,4,62,170,0.235,0.316,0.398,0.713,94,0.315,95,212,4,3,0,4,2,*97D2/H3,
29,Alex Verdugo*,27,BOS,2.7,142,602,546,81,144,37,5,13,54,5,3,45,93,0.264,0.324,0.421,0.745,100,0.324,98,230,11,6,0,5,1,*9/H,
30,Bo Bichette,25,TOR,4.8,135,601,571,69,175,30,3,20,73,5,3,27,115,0.306,0.339,0.475,0.814,122,0.355,126,271,14,2,0,1,0,*6/DH,"AS,MVP-16"
31,Anthony Volpe,22,NYY,3.3,159,601,541,62,113,23,4,21,60,24,5,52,167,0.209,0.283,0.383,0.666,81,0.299,80,207,10,5,1,2,0,*6/H,"ROY-8,GG"
32,Yandy Díaz,31,TBR,5.1,137,600,525,95,173,35,0,22,78,0,1,65,94,0.33,0.41,0.522,0.932,157,0.399,159,274,16,8,0,2,0,*3D/5H,"AS,MVP-6,SS"
33,Shohei Ohtani*,28,LAA,6.1,135,599,497,102,151,26,8,44,95,20,6,91,143,0.304,0.412,0.654,1.066,185,0.435,181,325,9,3,0,3,21,*D1,"AS,MVP-1,SS"
34,Luis Robert Jr.,25,CHW,5.3,145,595,546,90,144,36,1,38,80,20,4,30,172,0.264,0.315,0.542,0.857,130,0.363,128,296,10,12,0,2,5,*8/H,"AS,MVP-12,SS"
35,José Abreu,36,HOU,-0.1,141,594,540,62,128,23,1,18,90,0,1,42,130,0.237,0.296,0.383,0.68,87,0.303,89,207,16,6,0,6,1,*3/D,
36,Whit Merrifield,34,TOR,0.7,145,592,547,66,149,27,0,11,67,26,10,36,101,0.272,0.318,0.382,0.7,93,0.311,93,209,15,3,0,6,2,47/H9,AS
37,Matt Chapman,30,TOR,4.3,140,581,509,66,122,39,2,17,54,4,2,62,165,0.24,0.33,0.424,0.755,107,0.333,110,216,4,8,0,2,1,*5/DH,GG
38,Daulton Varsho*,26,TOR,3.6,158,581,527,65,116,23,3,20,61,16,7,45,135,0.22,0.285,0.389,0.674,84,0.299,86,205,5,4,1,3,0,*78/HD,
39,Carlos Correa,28,MIN,1.3,135,580,514,60,118,29,2,18,65,0,0,59,131,0.23,0.312,0.399,0.711,94,0.312,93,205,30,4,0,3,3,*6,
40,Salvador Perez,33,KCR,0.4,140,580,538,59,137,21,0,23,80,0,0,19,135,0.255,0.292,0.422,0.714,92,0.303,86,227,11,13,0,8,6,2D3,AS
41,Masataka Yoshida*,29,BOS,1.4,140,580,537,71,155,33,3,15,72,8,0,34,81,0.289,0.338,0.445,0.783,109,0.348,112,239,20,7,0,2,0,7D/H,ROY-6
42,Isaac Paredes,24,TBR,4.2,143,571,492,71,123,24,0,31,98,1,0,58,104,0.25,0.352,0.488,0.84,130,0.367,135,240,11,20,0,1,0,*534/HD6,-MVP 18.00
43,Cal Raleigh#,26,SEA,3.4,145,569,513,78,119,23,1,30,75,0,0,54,158,0.232,0.306,0.456,0.762,114,0.331,116,234,6,1,0,1,1,*2HD,-MVP 18.00
44,Austin Hays,27,BAL,2.5,144,566,520,76,143,36,2,16,67,5,1,38,141,0.275,0.325,0.444,0.769,114,0.33,111,231,11,3,0,5,1,*7/89HD,AS
45,DJ LeMahieu,34,NYY,1.3,136,562,497,55,121,22,3,15,44,2,2,60,125,0.243,0.327,0.39,0.718,96,0.315,96,194,14,3,0,2,2,53/4HD,
46,Leody Taveras#,24,TEX,2.9,143,554,511,67,136,31,3,14,67,14,4,35,117,0.266,0.312,0.421,0.733,101,0.321,100,215,3,1,3,4,0,*8/HD,
47,Javier Báez,30,DET,0.8,136,547,510,58,113,18,4,9,59,12,0,24,125,0.222,0.267,0.325,0.593,63,0.275,65,166,12,9,0,3,0,*6/DH,
48,Corey Seager*,29,TEX,7.2,119,536,477,88,156,42,0,33,96,2,1,49,88,0.327,0.39,0.623,1.013,174,0.419,172,297,9,4,0,6,9,*6/D,"AS,MVP-2,SS"
49,Matt Vierling,26,DET,1.5,134,530,479,63,125,21,5,10,44,6,6,44,112,0.261,0.329,0.388,0.717,98,0.316,100,186,8,5,1,1,1,*9758H/4,
50,Brent Rooker,28,OAK,2,137,526,463,61,114,20,1,30,69,4,0,49,172,0.246,0.329,0.488,0.817,127,0.351,127,226,11,10,0,4,1,D97H,AS
51,Tim Anderson,30,CHW,-1.8,123,524,493,52,121,18,2,1,25,13,2,26,122,0.245,0.286,0.296,0.582,62,0.263,56,146,15,3,0,2,0,*6/H4,
52,Brandon Drury,30,LAA,2,125,523,485,61,127,30,3,26,83,0,2,25,136,0.262,0.306,0.497,0.803,114,0.339,113,241,14,8,0,5,0,43/DH,
53,Zach McKinstry*,28,DET,1.3,148,518,464,60,107,21,4,9,35,16,6,44,113,0.231,0.302,0.351,0.654,81,0.296,83,163,3,5,2,3,0,549H67/8D1,
54,Myles Straw,28,CLE,0.9,147,518,462,52,110,18,3,1,29,20,6,42,97,0.238,0.301,0.297,0.597,67,0.275,66,137,10,2,6,6,0,*8/H,
55,Maikel Garcia,23,KCR,1.1,123,515,464,59,126,20,4,4,50,23,7,38,115,0.272,0.323,0.358,0.681,86,0.305,85,166,9,2,1,10,0,56/D4H,
56,Josh Jung,25,TEX,2.6,122,515,478,75,127,25,1,23,70,1,3,30,151,0.266,0.315,0.467,0.781,113,0.334,112,223,7,5,0,2,0,*5/H,"AS,ROY-4"
57,Hunter Renfroe,31,LAA,0.1,126,504,459,56,111,31,0,19,56,0,0,39,113,0.242,0.304,0.434,0.737,99,0.321,98,199,15,3,0,3,0,*9/H3,
58,Triston Casas*,23,BOS,2.2,132,502,429,66,113,21,2,24,65,0,0,70,126,0.263,0.367,0.49,0.856,129,0.369,130,210,7,1,0,2,2,*3H/D,ROY-3
59,Jonah Heim#,28,TEX,3.1,131,501,457,61,118,28,0,18,95,2,0,40,96,0.258,0.317,0.438,0.755,106,0.329,107,200,10,1,0,3,2,*2/DH,"AS,GG"
60,Josh Lowe*,25,TBR,3.7,135,501,466,71,136,33,2,20,83,32,3,31,124,0.292,0.335,0.5,0.835,128,0.37,129,233,6,1,0,3,2,9DH8/7,
61,Esteury Ruiz,24,OAK,-0.3,132,497,449,47,114,24,1,5,47,67,13,20,99,0.254,0.309,0.345,0.654,85,0.309,85,155,7,16,4,1,1,*87H9/D,
62,Yordan Alvarez*,26,HOU,4.5,114,496,410,77,120,24,1,31,97,0,0,69,92,0.293,0.407,0.583,0.99,170,0.419,172,239,7,13,0,4,5,D7/H,"AS,MVP-13"
63,Josh Naylor*,26,CLE,2.3,121,495,452,52,139,31,0,17,97,10,3,33,68,0.308,0.354,0.489,0.842,130,0.357,127,221,11,3,0,7,9,3D/H9,-MVP 22.00
64,Ryan Noda*,27,OAK,2.2,128,495,406,63,93,22,1,16,54,3,1,77,170,0.229,0.364,0.406,0.77,118,0.34,120,165,4,10,0,2,1,*3H/9D7,
65,Mauricio Dubón,28,HOU,2.7,132,492,467,76,130,26,3,10,46,7,2,19,70,0.278,0.309,0.411,0.72,97,0.324,103,192,10,3,0,3,0,48H/67395,GG
66,Wander Franco#,22,TBR,5.4,112,491,442,65,124,23,6,17,58,30,10,42,69,0.281,0.344,0.475,0.819,125,0.367,132,210,18,3,0,4,3,*6/HD,AS
67,Max Kepler*,30,MIN,2.8,130,491,438,72,114,22,2,24,66,1,1,45,106,0.26,0.332,0.484,0.816,120,0.353,123,212,9,4,0,4,0,*9H/D,
68,Shea Langeliers,25,OAK,0.9,135,490,448,52,92,19,4,22,63,3,2,34,143,0.205,0.268,0.413,0.681,89,0.293,87,185,10,5,1,2,2,*2/DH,
69,Eloy Jiménez,26,CHW,0.5,120,489,456,50,124,23,0,18,64,0,0,30,93,0.272,0.317,0.441,0.758,106,0.327,105,201,13,1,0,2,2,D9/H,
70,Ryan Mountcastle,26,BAL,2.1,115,470,423,64,114,21,1,18,68,3,1,37,107,0.27,0.328,0.452,0.779,117,0.335,116,191,13,3,0,7,1,3D/H,
71,Michael Massey*,25,KCR,-0.1,129,461,428,42,98,18,1,15,55,6,2,24,99,0.229,0.274,0.381,0.655,77,0.29,76,163,3,4,1,4,0,*4H/D,
72,Kerry Carpenter*,25,DET,2.1,118,459,418,57,116,17,2,20,64,6,0,32,115,0.278,0.34,0.471,0.811,122,0.351,120,197,5,8,0,1,3,9D7/H,
73,Aaron Judge,31,NYY,4.6,106,458,367,79,98,16,0,37,75,3,1,88,130,0.267,0.406,0.613,1.019,175,0.421,172,225,5,0,0,3,9,9D8/H,"AS,MVP-15"
74,Chas McCormick,28,HOU,3.4,115,457,403,59,110,17,2,22,70,19,6,40,117,0.273,0.353,0.489,0.842,130,0.367,132,197,3,11,1,2,0,*789/DH,
75,Will Brennan*,25,CLE,0.3,138,455,432,41,115,24,0,5,41,13,5,16,57,0.266,0.299,0.356,0.655,81,0.292,80,154,4,5,0,2,2,*9H8/7D,
76,Adam Frazier*,31,BAL,1.7,141,455,412,59,99,21,2,13,60,11,4,32,68,0.24,0.3,0.396,0.696,94,0.307,95,163,4,4,4,2,0,*4H/97D,
77,Cedric Mullins*,28,BAL,2.8,116,455,404,51,94,23,3,15,74,19,3,43,101,0.233,0.305,0.416,0.721,101,0.316,97,168,6,1,3,4,1,*8/HD,
78,Donovan Solano,35,MIN,1.6,134,450,394,43,111,26,1,5,38,0,0,40,100,0.282,0.369,0.391,0.76,110,0.341,113,154,8,15,0,1,1,3H45D,
79,Luis Rengifo#,26,LAA,1.9,126,445,394,55,104,15,4,16,51,6,4,41,82,0.264,0.339,0.444,0.783,112,0.339,113,175,3,6,0,4,0,4659H/78,
80,Ezequiel Durán,24,TEX,1.1,122,439,406,55,112,22,2,14,46,8,4,23,120,0.276,0.324,0.443,0.768,110,0.332,110,180,7,7,1,2,1,675D/4H39,
81,Brandon Lowe*,28,TBR,2.1,109,436,377,58,87,15,1,21,68,7,0,50,119,0.231,0.328,0.443,0.771,112,0.34,113,167,8,6,0,3,0,4/HD,
82,Harold Ramírez,28,TBR,2,122,434,400,58,125,19,2,12,68,5,3,22,79,0.313,0.353,0.46,0.813,124,0.356,128,184,7,6,0,6,0,DH/793,
83,Alejandro Kirk,24,TOR,1.9,123,422,372,34,93,16,0,8,43,0,0,42,45,0.25,0.334,0.358,0.692,92,0.308,92,133,21,6,0,2,1,2HD,
84,Anthony Rizzo*,33,NYY,0.5,99,421,373,45,91,14,0,12,41,0,3,35,97,0.244,0.328,0.378,0.706,94,0.309,94,141,10,12,0,1,1,3/D,
85,Robbie Grossman#,33,TEX,0.1,115,420,353,56,84,23,1,10,49,1,0,57,98,0.238,0.34,0.394,0.734,103,0.327,105,139,8,2,0,8,0,7D9H,
86,Tony Kemp*,31,OAK,-1.2,124,419,359,42,75,13,3,5,27,15,4,44,40,0.209,0.303,0.304,0.607,73,0.28,74,109,9,6,7,3,0,74H/D,
87,Riley Greene*,22,DET,1.9,99,416,378,51,109,19,4,11,37,7,0,35,114,0.288,0.349,0.447,0.796,119,0.351,120,169,7,1,0,2,0,8/D79H,
88,Jarred Kelenic*,23,SEA,2.1,105,416,372,44,94,25,2,11,49,13,5,41,132,0.253,0.327,0.419,0.746,111,0.327,113,156,6,1,0,2,4,79/8HD,
89,Giancarlo Stanton,33,NYY,-0.8,101,415,371,43,71,13,0,24,60,0,0,41,124,0.191,0.275,0.42,0.695,87,0.299,84,156,11,2,0,1,3,D9/H7,
90,Amed Rosario,27,CLE,-0.3,94,412,385,51,102,19,6,3,40,9,0,22,77,0.265,0.306,0.369,0.675,86,0.299,82,142,11,2,0,3,0,6/HD,
91,Jose Altuve,33,HOU,2.8,90,410,360,76,112,21,2,17,51,14,2,44,71,0.311,0.393,0.522,0.915,151,0.396,151,188,9,5,0,1,0,4/DH,
92,Willi Castro#,26,MIN,2.6,124,409,358,60,92,18,5,9,34,33,5,34,99,0.257,0.339,0.411,0.75,105,0.341,105,147,5,12,2,3,1,785H4/691D,
93,Taylor Ward,29,LAA,1.7,97,409,356,60,90,18,0,14,47,4,2,39,80,0.253,0.335,0.421,0.756,105,0.336,109,150,9,8,0,6,0,7/H3,
94,Edouard Julien*,24,MIN,2.6,109,408,338,60,89,16,1,16,37,3,0,64,128,0.263,0.381,0.459,0.839,130,0.366,130,155,8,2,1,3,0,4DH/3,ROY-7
95,Kevin Kiermaier*,33,TOR,3.8,129,408,370,58,98,21,6,8,36,14,1,29,86,0.265,0.322,0.419,0.741,103,0.33,103,155,9,4,1,4,0,*8/HD,GG
96,Martín Maldonado,36,HOU,0.3,116,407,362,33,69,12,0,15,36,0,0,30,139,0.191,0.258,0.348,0.606,66,0.265,60,126,10,3,12,0,0,*2/1,
97,Elvis Andrus,34,CHW,0.7,112,406,374,39,94,20,1,6,44,12,4,25,71,0.251,0.304,0.358,0.662,82,0.294,80,134,11,4,1,2,1,46/H5D,
98,Luke Raley*,28,TBR,2.7,118,406,357,56,89,23,3,19,49,14,3,28,128,0.249,0.333,0.49,0.824,125,0.358,126,175,2,18,1,2,0,937DH8/1,
99,Yasmani Grandal#,34,CHW,-0.6,118,405,363,33,85,14,0,8,33,0,0,36,86,0.234,0.309,0.339,0.647,79,0.294,81,123,11,4,0,2,1,2HD/3,
100,Brandon Belt*,35,TOR,2,103,404,339,53,86,23,0,19,43,0,0,61,141,0.254,0.369,0.49,0.858,135,0.373,138,166,5,2,0,2,1,D3/H,
101,Ramón Laureano,28,2TM,1.7,105,404,361,46,81,18,4,9,35,12,1,33,114,0.224,0.304,0.371,0.676,89,0.305,89,134,9,9,0,1,0,98/HD,
101,Ramón Laureano,28,OAK,1.1,64,246,225,24,48,10,3,6,21,8,0,17,73,0.213,0.28,0.364,0.645,81,0.291,80,82,5,4,0,0,0,9/H8D,
101,Ramón Laureano,28,CLE,0.6,41,158,136,22,33,8,1,3,14,4,1,16,41,0.243,0.342,0.382,0.724,101,0.328,104,52,4,5,0,1,0,98/HD,
102,Connor Wong,27,BOS,2.2,126,403,371,55,87,25,2,9,36,8,2,22,134,0.235,0.288,0.385,0.673,80,0.299,78,143,4,6,3,1,0,*2H/4D,
103,Ramón Urías,29,BAL,1.8,116,396,360,45,95,22,3,4,42,3,1,27,101,0.264,0.328,0.375,0.703,98,0.313,100,135,10,8,0,1,0,543H/D,
104,Josh Bell#,30,CLE,-0.3,97,393,347,26,81,19,0,11,48,0,1,43,81,0.233,0.318,0.383,0.701,93,0.304,90,133,7,1,0,2,1,D3/H,
105,Michael A. Taylor,32,MIN,1.9,129,388,355,48,78,14,1,21,51,13,1,26,130,0.22,0.278,0.442,0.72,93,0.316,91,157,7,3,3,1,0,*8H/D,
106,Edward Olivares,27,KCR,0.2,107,385,354,47,93,23,4,12,36,11,5,22,64,0.263,0.317,0.452,0.769,107,0.34,112,160,7,7,0,2,1,7DH/98,
107,Andy Ibáñez,30,DET,1.9,114,383,356,42,94,23,2,11,41,1,0,24,69,0.264,0.312,0.433,0.744,103,0.32,100,154,7,1,1,1,0,4H57/93D,
108,Seth Brown*,30,OAK,0.3,112,378,343,33,76,19,1,14,52,3,1,30,101,0.222,0.286,0.405,0.692,93,0.3,91,139,6,2,1,2,1,97HD3,
109,Yainer Diaz,24,HOU,3.2,104,377,355,51,100,22,0,23,60,0,0,11,74,0.282,0.308,0.538,0.846,128,0.363,131,191,12,5,0,6,0,2DH/3,ROY-5
110,Miguel Cabrera,40,DET,-0.3,98,370,334,21,86,20,0,4,34,0,0,31,74,0.257,0.322,0.353,0.675,87,0.308,92,118,11,2,0,3,0,D/H3,
111,Kyle Farmer,32,MIN,1.7,120,369,336,49,86,14,2,11,46,2,4,23,86,0.256,0.317,0.408,0.725,97,0.322,103,137,7,8,0,2,0,456H/37D,
112,Ryan O'Hearn*,29,BAL,1.2,112,368,346,48,100,22,1,14,60,5,1,15,82,0.289,0.322,0.48,0.801,122,0.343,120,166,2,3,1,3,2,39HD/7,
113,Jake Rogers,28,DET,0.8,107,365,331,47,73,11,0,21,49,1,1,28,118,0.221,0.286,0.444,0.73,98,0.31,94,147,6,3,1,2,0,2/HD7,
114,Jose Siri,27,TBR,1.6,101,364,338,58,75,13,2,25,56,12,3,20,130,0.222,0.267,0.494,0.761,105,0.322,100,167,5,2,1,3,0,8/HD,
115,Jarren Duran*,26,BOS,2.2,102,362,332,46,98,34,2,8,40,24,2,24,90,0.295,0.346,0.482,0.828,121,0.366,119,160,3,3,0,2,1,87H/9D,
116,Mike Trout,31,LAA,2.9,82,362,308,54,81,14,1,18,44,2,0,45,104,0.263,0.367,0.49,0.858,132,0.366,129,151,4,7,0,2,2,8/DH,AS
117,Isiah Kiner-Falefa,28,NYY,0,113,361,326,39,79,12,1,6,37,14,5,28,70,0.242,0.306,0.34,0.646,78,0.29,76,111,12,3,1,3,0,875H/9146,
118,Akil Baddoo*,24,DET,0.7,112,357,312,40,68,13,1,11,34,14,3,42,89,0.218,0.31,0.372,0.682,88,0.302,84,116,4,0,2,1,2,7H/89D,
119,Yoán Moncada#,28,CHW,0.6,92,357,334,39,87,20,1,11,40,1,0,20,107,0.26,0.305,0.425,0.73,99,0.32,99,142,6,2,0,1,0,5/H,
120,Christian Vázquez,32,MIN,-0.4,102,355,327,34,73,13,0,6,32,1,0,25,82,0.223,0.28,0.318,0.598,64,0.264,58,104,11,1,1,1,1,2/3H4D,
121,Adam Duvall,34,BOS,1.6,92,353,320,45,79,24,2,21,58,4,0,22,110,0.247,0.303,0.531,0.834,119,0.349,114,170,0,6,0,5,1,89/H7D,
122,Jorge Mateo,28,BAL,0.8,116,350,318,58,69,14,2,7,34,32,5,22,82,0.217,0.267,0.34,0.607,70,0.282,67,108,8,1,5,3,0,*6H/8D,
123,Taylor Walls#,26,TBR,2,99,349,303,50,61,12,2,8,36,22,1,44,92,0.201,0.305,0.333,0.638,78,0.302,79,101,1,1,1,0,0,546/H,
124,Byron Buxton,29,MIN,0.7,85,347,304,49,63,17,1,17,42,9,0,35,109,0.207,0.294,0.438,0.731,97,0.321,95,133,3,4,0,4,2,D/H,
125,Gabriel Arias,23,CLE,-0.2,122,345,315,36,66,15,0,10,26,3,4,28,113,0.21,0.275,0.352,0.628,72,0.274,71,111,9,1,0,1,0,63H95/D4,
126,Nick Pratto*,24,KCR,-1.3,95,345,306,33,71,16,0,7,35,1,1,29,138,0.232,0.307,0.353,0.66,80,0.291,78,108,3,6,0,4,0,37/H9,
127,Aledmys Díaz,32,OAK,-1,109,344,315,25,72,20,1,4,24,1,0,17,66,0.229,0.28,0.337,0.616,74,0.269,69,106,14,7,1,4,2,56H743/D,
128,Mitch Garver,32,TEX,2.3,87,344,296,45,80,11,0,19,50,0,0,44,82,0.27,0.37,0.5,0.87,138,0.381,144,148,6,3,0,0,1,D2/H3,
129,Gavin Sheets*,27,CHW,-1.5,118,344,311,24,63,10,0,10,43,1,0,28,66,0.203,0.267,0.331,0.599,64,0.267,61,103,6,1,0,4,2,9H3D/7,
130,Jorge Polanco#,29,MIN,1.9,80,343,302,38,77,18,0,14,48,4,0,36,88,0.255,0.335,0.454,0.789,114,0.341,111,137,2,2,0,3,0,45D/H,
131,Jake Meyers,27,HOU,1.5,112,341,309,42,70,16,1,10,33,5,2,26,88,0.227,0.296,0.382,0.678,86,0.302,87,118,2,5,0,1,0,8H/7D,
132,Cavan Biggio*,28,TOR,0.6,111,338,289,54,68,12,0,9,40,5,2,40,88,0.235,0.34,0.37,0.71,97,0.317,98,107,0,7,0,2,0,4H935/D6,
133,Drew Waters#,24,KCR,0.6,98,337,302,40,69,11,5,8,32,16,5,27,107,0.228,0.3,0.377,0.677,84,0.302,82,114,4,5,0,3,0,89/D7H,
134,Manuel Margot,28,TBR,0.6,99,336,311,39,82,21,1,4,38,9,3,18,55,0.264,0.31,0.376,0.686,90,0.303,88,117,6,4,0,3,0,89H,
135,Ryan Jeffers,26,MIN,3.2,96,335,286,46,79,15,2,14,43,3,2,33,93,0.276,0.369,0.49,0.858,133,0.368,134,140,6,10,4,2,1,2H/D,
136,Christian Bethancourt,31,TBR,0.7,104,332,315,49,71,16,0,11,33,1,0,13,91,0.225,0.254,0.381,0.635,73,0.281,73,120,6,0,1,3,0,2/H1D,
137,Joey Gallo*,29,MIN,0.5,111,332,282,39,50,9,1,21,40,1,1,48,142,0.177,0.301,0.44,0.741,100,0.32,99,124,3,2,0,0,1,37H89/D,
138,Oswaldo Cabrera#,24,NYY,-1.5,115,330,298,35,63,11,0,5,29,8,0,25,72,0.211,0.275,0.299,0.574,58,0.259,50,89,6,2,3,2,1,795H/46D38,
139,Nick Allen,24,OAK,0.2,106,329,303,29,67,4,2,4,20,5,1,17,52,0.221,0.263,0.287,0.55,56,0.248,52,87,8,1,6,2,0,6/H4D,
140,Zach Neto,22,LAA,1.6,84,329,289,38,65,17,0,9,34,5,1,20,77,0.225,0.308,0.377,0.685,86,0.313,91,109,5,16,1,3,0,6/H,
141,Jace Peterson*,33,OAK,0.3,92,324,281,30,62,7,2,6,28,11,1,36,77,0.221,0.313,0.324,0.637,81,0.291,80,91,6,3,1,3,1,54H/17D,
142,Jake Burger,27,CHW,1.4,88,323,294,44,63,15,1,25,52,1,1,22,102,0.214,0.279,0.527,0.806,115,0.344,117,155,3,5,0,2,0,5D/H34,
143,Kiké Hernández,31,BOS,-0.6,86,323,297,38,66,11,0,6,31,3,1,22,68,0.222,0.279,0.32,0.599,62,0.268,57,95,11,2,0,2,0,648/H,
144,Corey Julks,27,HOU,0.3,93,323,298,35,73,14,0,6,33,15,3,22,75,0.245,0.297,0.352,0.65,79,0.296,79,105,6,1,0,2,0,7DH/9,
145,Mickey Moniak*,25,LAA,2.2,85,323,311,35,87,21,2,14,45,6,3,9,113,0.28,0.307,0.495,0.802,114,0.339,112,154,4,3,0,0,1,897/H,
146,Alex Kirilloff*,25,MIN,0.5,88,319,281,35,76,14,1,11,41,1,0,28,80,0.27,0.348,0.445,0.793,116,0.343,114,125,2,7,0,3,1,3H97/D,
147,Kyle Isbel*,26,KCR,2,91,313,292,45,70,22,2,5,34,7,1,17,59,0.24,0.282,0.38,0.662,79,0.289,73,111,5,1,1,2,0,8/HD,
148,Aaron Hicks#,33,2TM,0.5,93,312,269,44,68,9,1,8,36,6,0,42,69,0.253,0.353,0.383,0.735,106,0.328,106,103,3,0,0,1,1,879H/D,
148,Aaron Hicks#,33,NYY,-0.5,28,76,69,9,13,2,0,1,5,0,0,7,20,0.188,0.263,0.261,0.524,45,0.237,40,18,0,0,0,0,0,7/8HD,
148,Aaron Hicks#,33,BAL,1.1,65,236,200,35,55,7,1,7,31,6,0,35,49,0.275,0.381,0.425,0.806,127,0.357,127,85,3,0,0,1,1,897/DH,
149,Harrison Bader,29,NYY,0.9,84,310,288,40,69,11,2,7,37,17,2,14,56,0.24,0.278,0.365,0.643,75,0.285,67,105,6,3,1,4,0,8/H,
150,Matt Thaiss*,28,LAA,0.4,95,307,262,32,56,6,0,9,31,2,0,36,83,0.214,0.319,0.34,0.659,81,0.302,84,89,4,6,0,3,1,2H/D3,
151,JJ Bleday*,25,OAK,-0.1,82,303,256,35,50,11,0,10,27,5,1,42,72,0.195,0.31,0.355,0.666,88,0.299,90,91,3,2,0,3,0,789/HD,
152,Danny Jansen,28,TOR,1.6,86,301,268,38,61,15,0,17,53,0,0,23,62,0.228,0.312,0.474,0.786,114,0.337,113,127,3,10,0,0,1,2H/D,
153,Zack Gelof,23,OAK,2.5,69,300,270,40,72,20,1,14,32,14,2,26,82,0.267,0.337,0.504,0.84,134,0.361,130,136,5,3,0,1,1,4,
154,Jordan Diaz,22,OAK,-1.2,90,293,272,20,60,9,0,10,27,0,1,17,69,0.221,0.273,0.364,0.637,78,0.279,78,99,10,3,0,1,0,54D/H3,
155,Nick Maton*,26,DET,-1.3,93,293,249,29,43,9,0,8,32,1,2,38,73,0.173,0.288,0.305,0.593,65,0.267,65,76,4,3,1,2,1,54HD/6,
156,Eric Haase,30,2TM,-0.8,89,293,274,22,55,8,1,4,26,4,1,17,81,0.201,0.247,0.281,0.528,46,0.242,43,77,11,0,1,1,1,27H/D9,
156,Eric Haase,30,DET,-0.8,86,282,264,22,53,8,1,4,26,3,1,16,78,0.201,0.246,0.284,0.53,46,0.242,44,75,10,0,1,1,1,27H/D9,
156,Eric Haase,30,CLE,0,3,11,10,0,2,0,0,0,0,1,0,1,3,0.2,0.273,0.2,0.473,35,0.247,33,2,1,0,0,0,0,/2,
157,Travis Jankowski*,32,TEX,1.6,107,287,247,34,65,12,1,1,30,19,1,35,42,0.263,0.357,0.332,0.689,93,0.332,100,82,6,2,1,2,0,7H98/D,
158,José Caballero,26,SEA,2.5,104,280,231,37,51,9,1,4,26,26,3,28,66,0.221,0.343,0.32,0.663,92,0.323,99,74,0,17,0,4,0,4H6/5D7,
