Rk,Player,Age,Team,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
279,Bobby Dalbec,28,BOS,-0.2,21,53,49,6,10,2,0,1,1,1,0,4,28,0.204,0.264,0.306,0.57,54,0.259,48,15,0,0,0,0,0,3/H5D46,
280,Carlos Pérez,26,CHW,0,27,53,49,5,10,4,0,1,3,0,0,4,11,0.204,0.264,0.347,0.611,67,0.284,74,17,2,0,0,0,0,2H/D,
281,Ernie Clement,27,TOR,0.9,29,52,50,7,19,1,1,1,10,1,0,1,4,0.38,0.385,0.5,0.885,143,0.381,141,25,0,0,0,1,0,6H/45D1,
282,Kyren Paris,21,LAA,0,15,46,40,4,4,0,0,0,1,3,0,4,17,0.1,0.2,0.1,0.3,-14,0.208,5,4,0,1,1,0,0,/648HD,
283,Cody Thomas*,28,OAK,-0.1,19,46,42,1,10,3,0,1,2,0,0,4,17,0.238,0.304,0.381,0.685,93,0.296,89,16,1,0,0,0,0,9/HD7,
284,Sam Huff,25,TEX,0.3,21,45,43,5,11,2,0,3,6,0,0,2,17,0.256,0.289,0.512,0.801,115,0.335,111,22,1,0,0,0,0,2/D3H,
285,Grae Kessinger,25,HOU,0,26,45,40,3,8,2,0,1,1,0,1,5,12,0.2,0.289,0.325,0.614,70,0.26,66,13,0,0,0,0,0,/H5643,
286,Paul DeJong,29,TOR,-0.8,13,44,44,1,3,0,0,0,1,0,0,0,18,0.068,0.068,0.068,0.136,-62,0.061,-85,3,1,0,0,0,0,6,
287,Spencer Horwitz*,25,TOR,0.3,15,44,39,5,10,2,0,1,7,0,0,4,12,0.256,0.341,0.385,0.726,101,0.323,103,15,1,1,0,0,0,/D3H,
288,Sandy León#,34,TEX,-0.5,21,44,41,4,6,2,0,0,4,0,0,1,20,0.146,0.186,0.195,0.381,6,0.173,-7,8,2,1,1,0,0,2/1H,
289,J.P. Martínez*,27,TEX,-0.2,17,44,40,7,9,1,0,1,4,0,0,2,16,0.225,0.25,0.325,0.575,58,0.242,45,13,0,0,0,2,0,/H79D8,
290,Jordyn Adams,23,LAA,-0.7,17,40,39,1,5,0,0,0,1,1,2,0,16,0.128,0.125,0.128,0.253,-30,0.135,-20,5,0,0,0,1,0,/98H7,
291,Andrew Stevenson*,29,MIN,0.1,25,40,37,4,7,1,0,0,1,4,1,2,8,0.189,0.25,0.216,0.466,30,0.222,21,8,0,1,0,0,0,8H/7,
292,David Hamilton*,25,BOS,-0.1,15,39,33,2,4,2,0,0,0,2,1,6,10,0.121,0.256,0.182,0.438,22,0.215,21,6,1,0,0,0,0,6/4H,
293,Adam Haseley*,27,CHW,-0.1,28,39,36,6,8,2,0,0,2,1,0,3,8,0.222,0.282,0.278,0.56,56,0.257,51,10,1,0,0,0,0,9/H87D,
294,Andre Lipcius,25,DET,-0.1,13,38,35,3,10,1,0,1,4,0,0,3,8,0.286,0.342,0.4,0.742,105,0.327,106,14,1,0,0,0,0,5/HD,
295,Logan Porter,27,KCR,0,11,38,31,4,6,1,0,1,3,0,0,5,11,0.194,0.324,0.323,0.647,78,0.321,98,10,2,1,1,0,0,2,
296,Tyler Heineman#,32,TOR,0.3,19,37,29,4,8,1,1,0,3,0,0,7,7,0.276,0.432,0.379,0.812,129,0.363,131,11,0,1,0,0,0,2/H,
297,Junior Caminero,19,TBR,0,7,36,34,4,8,1,0,1,7,0,0,2,8,0.235,0.278,0.353,0.631,74,0.274,69,12,2,0,0,0,0,/56D4,
298,Joey Ortiz,24,BAL,0,15,34,33,4,7,1,0,0,4,0,0,0,9,0.212,0.206,0.242,0.448,26,0.194,15,8,2,0,0,1,0,/456H,
299,José Tena*,22,CLE,-0.3,18,34,31,2,7,2,0,0,3,0,0,3,13,0.226,0.294,0.29,0.584,63,0.265,61,9,0,0,0,0,0,6/H45D,
300,Jasson Domínguez#,20,NYY,0.2,8,33,31,6,8,1,0,4,7,1,0,2,8,0.258,0.303,0.677,0.98,158,0.409,157,21,1,0,0,0,0,/8,
301,Heston Kjerstad*,24,BAL,0,13,33,30,3,7,1,0,2,3,0,0,2,10,0.233,0.281,0.467,0.748,106,0.315,101,14,0,0,0,0,0,/DH79,
302,Kyle Stowers*,25,BAL,-0.3,14,33,30,1,2,0,0,0,0,0,0,3,12,0.067,0.152,0.067,0.218,-35,0.117,-40,2,1,0,0,0,0,/97HD,
303,Nathan Lukes*,28,TOR,0,29,31,26,4,5,1,1,0,2,0,0,4,9,0.192,0.29,0.308,0.598,66,0.266,62,8,1,0,0,1,0,9H/D78,
304,Kyle Garlick,31,MIN,-0.1,14,30,28,2,5,1,0,2,4,0,0,2,11,0.179,0.233,0.429,0.662,76,0.276,67,12,0,0,0,0,0,/9H7D,
305,Bligh Madris*,27,HOU,-0.3,12,30,26,4,4,1,0,0,0,0,0,4,7,0.154,0.267,0.192,0.459,31,0.223,31,5,0,0,0,0,0,/HD317,
306,Greg Allen#,30,NYY,0,22,28,23,6,5,1,1,1,1,3,1,2,10,0.217,0.333,0.478,0.812,119,0.389,145,11,0,2,1,0,0,7H/98D,
307,Cooper Hummel#,28,SEA,-0.4,10,26,23,2,2,1,0,0,0,1,0,2,9,0.087,0.192,0.13,0.323,-5,0.172,-4,3,1,1,0,0,0,/DH79,
308,Austin Hedges,30,TEX,-0.1,16,25,24,1,5,0,0,0,2,0,0,0,8,0.208,0.208,0.208,0.417,16,0.223,29,5,0,0,1,0,0,2/1DH,
309,Tommy La Stella*,34,SEA,-0.1,12,24,21,2,4,1,0,0,2,0,0,3,5,0.19,0.292,0.238,0.53,54,0.245,55,5,0,0,0,0,0,/DH,
310,Josh Lester*,28,BAL,-0.2,11,23,22,0,4,0,0,0,4,0,0,1,7,0.182,0.217,0.182,0.399,15,0.224,36,4,1,0,0,0,0,/3HD159,
311,Austin Meadows*,28,DET,-0.2,6,21,21,0,5,1,0,0,2,0,0,0,3,0.238,0.238,0.286,0.524,44,0.229,36,6,0,0,0,0,0,/79H,
312,Brian O'Keefe,29,SEA,-0.2,8,21,19,0,2,2,0,0,2,0,0,2,7,0.105,0.19,0.211,0.401,15,0.179,8,4,2,0,0,0,0,/2H,
313,Jorge Alfaro,30,BOS,-0.1,8,20,17,0,2,0,0,0,0,0,0,2,3,0.118,0.25,0.118,0.368,5,0.195,5,2,1,1,0,0,0,/2DH,
314,César Salazar*,27,HOU,-0.2,13,19,18,1,2,0,0,0,0,0,0,1,6,0.111,0.158,0.111,0.269,-23,0.13,-35,2,1,0,0,0,0,/2H,
315,Ryan Kreidler,25,DET,-0.4,11,18,18,2,2,0,0,0,0,0,0,0,7,0.111,0.111,0.111,0.222,-38,0.094,-60,2,0,0,0,0,0,/456DH,
316,Anthony Bemboom*,33,BAL,0,6,13,11,0,2,0,0,0,0,0,0,2,2,0.182,0.308,0.182,0.49,44,0.244,50,2,0,0,0,0,0,/2,
317,Manny Piña,36,OAK,0,4,12,12,1,3,0,0,1,1,0,0,0,3,0.25,0.25,0.5,0.75,105,0.307,96,6,1,0,0,0,0,/2D,
318,Liván Soto*,23,LAA,0.1,4,12,9,2,2,0,0,0,0,0,0,3,2,0.222,0.417,0.222,0.639,83,0.322,99,2,0,0,0,0,0,/46,
319,Tyler Naquin*,32,CHW,-0.3,5,8,8,0,0,0,0,0,0,0,0,0,7,0,0,0,0,-100,0,-129,0,0,0,0,0,0,/7H9,
320,Jonathan Ornelas,23,TEX,0,8,8,7,2,1,0,0,0,0,0,0,0,4,0.143,0.25,0.143,0.393,14,0.202,16,1,0,1,0,0,0,/65H,
321,Kevin Padlo,26,LAA,-0.2,3,8,8,1,1,1,0,0,0,0,0,0,0,0.125,0.125,0.25,0.375,-1,0.154,-20,2,1,0,0,0,0,/35,
322,Luis Torrens,27,SEA,0,5,8,8,0,2,2,0,0,1,0,0,0,1,0.25,0.25,0.5,0.75,107,0.297,91,4,0,0,0,0,0,/H2D,
323,Tyler Cropley,27,KCR,-0.1,2,7,6,0,1,0,0,0,1,0,0,0,2,0.167,0.143,0.167,0.31,-16,0.127,-40,1,0,0,0,1,0,/2,
324,Rylan Bannon,27,HOU,-0.2,2,6,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-100,0,-127,0,0,0,0,0,0,/4D,
325,Zack Collins*,28,CLE,0.1,2,6,4,0,2,0,0,0,0,0,0,2,2,0.5,0.667,0.5,1.167,232,0.528,248,2,0,0,0,0,0,/2,
326,Cam Eden,25,TOR,-0.1,5,6,6,1,1,0,0,0,0,0,0,0,2,0.167,0.167,0.167,0.333,-7,0.149,-21,1,0,0,0,0,0,/H7D,
327,Caleb Hamilton,28,BOS,-0.1,4,6,5,0,0,0,0,0,0,0,0,1,5,0,0.167,0,0.167,-49,0.115,-51,0,0,0,0,0,0,/2,
